"id","subc_id","elev_min","elev_max","elev_mean","elev_sd","flowpos_min","flowpos_max","flowpos_mean","flowpos_sd","outlet_dist_dw_basin_min","outlet_dist_dw_basin_max","outlet_dist_dw_basin_mean","outlet_dist_dw_basin_sd","outlet_dist_dw_scatch_min","outlet_dist_dw_scatch_max","outlet_dist_dw_scatch_mean","outlet_dist_dw_scatch_sd","channel_dist_up_seg_min","channel_dist_up_seg_max","channel_dist_up_seg_mean","channel_dist_up_seg_sd","strahler"
4058583275,508077190,178.3,184.9,180.4174,1.4861,0.0053,89.3277,23.5173,38.8001,684588,685147,684887.06,171.8047,0,559,299.3043,171.8324,58,399,245.5,112.4185,4
4058575127,508295706,163,169.5,165.6654,1.5299,0.0054,389.0775,79.6014,156.0832,674289,675740,674945.8,347.6092,0,1451,656.2179,347.6295,58,1181,656.9333,351.1358,6
4058575145,508538141,243.9,286.8,255.5087,12.7223,0.0054,23.9542,3.5913,7.0002,575967,576454,576221.4,117.9343,0,488,254.7826,117.9727,59,395,206.4,120.3256,4
4058627924,508818468,289.3,351.2,308.2875,16.9971,0.0054,84.3512,9.0521,25.9813,668756,669685,669196.6,223.4479,0,929,441.1607,223.2452,110,456,291.5,121.4204,4
4058580025,508873541,303.9,433.3,337.0977,36.0547,0.0055,19.5963,2.287,6.2203,683157,684289,683699.2,332.1405,0,1132,542.1628,332.1442,59,735,425.3333,226.0904,1
4058580050,508767592,272.7,377.3,312.1936,30.4142,0.0055,39.0838,5.6577,13.2396,656604,657591,657102.8,233.8603,0,987,499.2903,233.928,59,768,390.7778,221.4025,4
4058491101,508655547,237.8,246.6,241.015,2.1216,0.0054,1908.3889,381.6761,763.2838,632704,633092,632924.6,113.3783,0,388,220.85,113.1027,110,388,236,106.4988,7
4058486109,508174453,265.3,344.4,275.9784,13.9389,0.0054,50.5752,6.483,14.3976,415015,416277,415661.5,271.2728,0,1263,646.7568,271.3794,109,900,484.5556,259.6652,5
4058624438,506562816,33.9,37.5,35.06,1.3691,0.0198,51.6441,20.6733,25.2647,84033,84144,84109.6,43.4677,0,110,76.2,43.4069,55,110,82.5,27.5,5
4058479639,506594631,12.4,24,18.8,4.258,0.0051,318.2282,86.7867,141.692,62435,62799,62627.453,103.7141,0,364,192.5455,103.8157,108,293,200.6667,75.5263,6
4058633492,506438313,21.8,46.5,30.902,7.976,0.0051,358.8527,60.3754,134.1778,72757,74481,73712.734,496.3833,0,1724,955.5446,496.3929,108,1536,835.1176,440.5301,6
4058572544,506430251,19.1,25.9,21.8389,2.0411,0.0051,122.8091,28.9564,50.297,84248,84977,84599.36,183.9053,0,729,351.4722,183.896,55,491,292.625,136.2782,5
4058572533,506455819,17.6,21.8,19.2433,1.0509,0.0051,155.6076,20.6098,52.4688,82321,82954,82659.8,188.568,0,633,338.8,188.568,55,325,190,97.3499,6
4058572447,506314046,24.2,33.8,28.1772,2.6198,0.005,86.7179,13.7444,30.4563,13521,14892,14257.455,353.6427,0,1370,736.1683,353.5985,54,1132,570.1429,318.0449,5
4058479582,506328402,1.6,30.3,13.2815,6.8409,0.005,1.2361,0.0551,0.169,4606,5707,5249.2407,318.6904,0,1101,643.2963,318.7324,107,992,554.5,279.3021,1
4058478586,506348330,44.9,54.2,48.42,2.9092,0.005,0.0946,0.033,0.0302,18455,18779,18652.8,87.0561,0,324,198,87.0356,54,269,161.6667,87.7737,1
4058633425,506345803,12,40.9,27.4147,6.6415,0.005,1.7932,0.2601,0.456,16756,17944,17452.094,302.0795,0,1189,696.2667,302.0892,108,1134,594.2667,310.7517,2
4058633622,506425890,11,33,15.3182,5.1674,0.0052,47.9936,7.2292,16.4359,34330,35216,34733.953,210.4791,0,886,403.8182,210.5158,108,525,292.5,145.8501,5
4058479820,506598133,21,29.7,26.205,2.7947,0.0051,48.9587,8.7983,18.5536,110770,111914,111346.086,272.9625,0,1145,576.2833,273.0133,108,999,575.0909,285.9674,4
4058633695,506598133,21,29.7,26.205,2.7947,0.0051,48.9587,8.7983,18.5536,110770,111914,111346.086,272.9625,0,1145,576.2833,273.0133,108,999,575.0909,285.9674,4
4058624571,506314760,1.9,11.2,5.3577,2.7412,0.005,51.4313,13.8879,22.6108,2002,2649,2296.2307,166.6065,0,648,294.2692,166.688,54,379,216.7143,108.3575,5
4058622428,506413835,35.5,45.7,41.34,3.8443,0.005,42.3661,16.9466,20.7491,11428,11628,11529.2,63.4898,0,200,101.8,63.4993,93,186,139.5,46.5,4
4058530465,506831319,32.7,39.4,36.05,3.35,0.0052,636.8016,318.4034,318.3982,235446,235555,235500.5,54.5,0,108,54,54,56,56,56,0,7
4058573457,506826096,35.6,45.9,40.15,2.8073,0.0052,68.3674,10.4795,24.1656,231970,232771,232386.42,215.1262,0,801,416.4,215.1109,108,637,364,180.3314,5
4058530512,506819002,37.6,52.2,41.575,4.2307,0.0052,63.4954,20.9839,29.6654,233789,234315,233990.42,146.2432,0,526,201.1667,146.1026,108,325,216.3333,88.5902,5
4058608483,506850770,32.3,44.5,37.1308,3.3132,0.0052,0.201,0.0416,0.0522,225109,225874,225447.08,201.9168,0,765,337.7308,201.7545,56,440,239.3333,129.3557,1
4058592569,507444172,51.1,54.9,52.5048,1.1741,0.0053,146.5105,32.3226,58.4856,404585,404968,404796.2,108.3748,0,383,211.3333,108.4582,109,367,242.25,93.513,5
4058583118,508539636,220.6,300.7,246.796,22.4066,0.0054,37.1856,7.4353,14.8287,625002,625397,625218.06,100.7154,0,395,215.8,100.593,59,395,216.6,119.4749,4
4058575229,508813976,337.2,480.2,402.4238,42.7651,0.0054,39.7773,5.6745,13.8536,718811,719410,719116.1,138.8207,0,599,305.4524,138.9445,59,354,206.5,100.7617,4
4058619543,508267736,114.1,116,114.8923,0.6708,0.0054,32.8754,7.5817,13.8226,610242,610958,610604.75,201.4044,0,716,363.0385,201.3482,109,606,352.1667,169.8248,5
4058603549,507883679,168.7,179.6,173.1842,2.9935,0.006,111.3315,11.4995,25.8257,531424,532033,531725.5,157.0231,0,609,301.3158,157.0176,58,449,244.6667,142.2166,4
4058603530,507806777,121.1,141.7,127.2035,5.7982,0.0053,55.8394,8.7333,19.8696,518627,519501,519077.3,200.0579,0,874,450.5862,200.0679,57,569,327.4444,164.631,5
4058506528,508122829,151.3,154.4,152.6857,0.9598,0.0054,849.1625,169.7895,339.5604,661916,662578,662278.8,194.358,0,663,363.0571,194.4736,109,663,400.5714,179.5215,7
4058628090,508373998,141.3,143.3,141.7414,0.5062,0.0054,2473.315,761.6221,1100.273,673439,674211,673785.5,200.7662,0,771,346,200.672,110,518,313.625,133.5224,7
4058575116,508484663,179.1,184.6,181.5775,1.3857,0.0054,0.2432,0.043,0.0699,696304,697289,696847.2,286.4781,0,984,543.1,286.4308,110,624,369.6667,176.4961,1
4058634924,508236277,127.3,128.9,128.0625,0.7175,0.0054,4158.8496,1559.5432,2013.3518,643889,644184,644038.75,84.1706,0,295,149.375,84.2362,93,278,185.3333,75.5263,7
4058635049,509004520,349.2,503.3,387.7248,35.5711,0.0055,78.8641,6.917,20.8227,1074867,1076501,1075610.5,398.4266,0,1634,743.2481,398.4912,110,838,471.1111,227.9827,5
4058628028,508831543,250.9,456.4,317.3462,67.3333,0.0057,197.0981,30.3291,71.0512,692272,693050,692624.9,216.4531,0,777,352.6538,216.1863,110,338,236.75,84.2359,5
4058486114,508559759,234.2,313.2,250.9037,17.9816,0.0054,61.497,9.8447,21.4818,637160,638396,637877.56,310.9328,0,1236,717.9756,310.9276,59,1068,524.0769,304.113,5
