"id","subc_id","bio1_min","bio1_max","bio1_mean","bio1_sd","bio12_min","bio12_max","bio12_mean","bio12_sd","bio15_min","bio15_max","bio15_mean","bio15_sd"
4058633637,506242372,8.65,8.65,8.65,0,893.4,897.4,895.9789,1.2509,22.8,23,22.8737,0.0636
4058572514,506242485,8.55,8.65,8.5769,0.0443,895.2,901.6,899.2164,1.5065,22.7,22.9,22.7806,0.0432
4058633488,506373663,8.85,8.85,8.85,0,949.6,952.7,950.0429,1.0848,21.1,21.2,21.1143,0.035
4058572452,506372158,8.85,8.85,8.85,0,905.4,910,907.93,2.2885,19.4,19.5,19.455,0.0497
4058569518,506286574,8.75,8.75,8.75,0,882.3,883.5,883.1914,0.5245,20.9,21,20.9257,0.0437
4058624518,506267882,8.65,8.65,8.65,0,877.8,883.2,880.2463,1.4483,21.8,21.9,21.8073,0.026
4058571654,506313498,8.85,8.85,8.85,0,870.2,870.2,870.2,0,24,24,24,0
4058523955,507604273,9.55,9.65,9.5697,0.0398,832.6,862.3,846.1134,5.7571,12.9,13,12.9803,0.0398
4058571135,507630512,9.55,9.55,9.55,0,850,850,850,0,13,13,13,0
4058596705,508454003,8.65,8.65,8.65,0,735.5,735.5,735.5,0,12,12,12,0
4058618631,508309920,8.25,8.45,8.4025,0.0851,712,716.8,712.9831,1.929,11.9,12,11.9797,0.0403
4058505569,508392655,7.75,8.25,8.06,0.1719,833.3,849.7,848.0533,2.8114,12.2,12.3,12.2767,0.0423
4058505664,508639641,9.25,9.25,9.25,0,716.4,735.1,722.025,6.1055,12.7,12.7,12.7,0
4058505550,508720203,9.35,9.45,9.3891,0.0488,744.1,770.6,758.5266,8.4256,11.7,11.8,11.7047,0.0211
4058591685,509145175,9.95,9.95,9.95,0,773.7,776.3,773.8238,0.5537,11.1,11.1,11.1,0
4058474954,508087086,8.15,8.35,8.3326,0.0564,951.5,960.3,952.6826,2.5828,10.9,11,10.9087,0.0282
4058618702,508464159,8.05,8.35,8.3275,0.079,858.7,898.7,861.7,10.5357,13.9,14,13.9075,0.0263
4058510588,508394109,8.25,8.25,8.25,0,798.1,801.6,798.225,0.6495,12.3,12.4,12.3036,0.0186
4058475212,507847233,9.55,9.55,9.55,0,913.4,915.1,914.9211,0.5217,12.4,12.4,12.4,0
4058524053,508497973,7.75,8.05,7.9,0.15,959.8,983.6,971.7,11.9,16,16.1,16.05,0.05
4058474035,508370974,7.35,7.75,7.6535,0.0752,1093.6,1122.4,1096.5258,6.2199,15.7,16,15.8858,0.0513
4058474233,507668126,9.85,9.85,9.85,0,818.3,822,820.2804,1.2659,13.1,13.1,13.1,0
4058481275,508278556,7.95,8.15,8.0629,0.0992,1262.1,1286.5,1275.8741,12.098,13.4,13.5,13.4565,0.0496
4058565280,508106045,8.65,8.85,8.8318,0.0575,1066.1,1091.9,1068.4456,7.417,10.9,10.9,10.9,0
4058475049,508577484,8.25,8.55,8.4396,0.1005,1084.1,1107.6,1093.3646,7.5376,17.4,17.5,17.4271,0.0444
4058596579,508919859,9.45,9.55,9.5314,0.0389,755.1,761,755.2586,0.7084,9.5,9.5,9.5,0
4058505657,509421122,10.15,10.15,10.15,0,834.5,837.2,836.84,0.9178,9.5,9.5,9.5,0
4058504676,509132195,9.55,9.95,9.7682,0.1992,884.1,902.5,892.4636,9.1619,10.7,10.8,10.7455,0.0498
4058510707,508368786,8.65,8.85,8.7658,0.0987,619.9,632.6,626.2158,3.167,13.3,13.4,13.3474,0.0499
4058481188,507730195,9.25,9.25,9.25,0,934.6,934.6,934.6,0,14.3,14.3,14.3,0
4058524121,507879249,9.15,9.25,9.219,0.0463,891.5,902.8,897.5793,4.8245,13.4,13.5,13.469,0.0463
4058605022,508091353,9.05,9.15,9.08,0.0458,762.7,765.1,764.38,1.0998,12.3,12.3,12.3,0
4058571192,507964690,8.95,9.05,9,0.05,952.1,953,952.55,0.45,12.6,12.6,12.6,0
4058618640,508720226,8.55,8.85,8.8125,0.0992,785.2,794.7,786.9708,2.9544,10.9,11,10.9583,0.0493
4058505670,509011474,8.85,8.95,8.9318,0.0386,979.3,993,980.3159,3.4312,12.8,12.9,12.8182,0.0386
4058509681,509200252,8.85,9.05,9.0143,0.0766,1000.2,1016,1003.0214,6.0513,12.4,12.5,12.4179,0.0383
4058504602,509204608,8.85,9.05,8.97,0.098,1000.2,1006,1002.52,2.8414,12.3,12.4,12.36,0.049
4058510708,508661715,8.85,9.05,8.9611,0.0994,722.3,733.7,728.6333,5.6647,12.1,12.1,12.1,0
4058510655,508284343,8.85,8.85,8.85,0,817.1,817.1,817.1,0,14.7,14.7,14.7,0
4058509568,508401507,8.55,8.75,8.62,0.0954,805.5,810.2,808.555,2.2418,13.1,13.2,13.135,0.0477
4058505687,508346409,8.65,8.65,8.65,0,798.5,798.5,798.5,0,12.8,12.8,12.8,0
4058548522,508622153,8.95,9.05,8.9545,0.0208,715.7,724.5,716.1,1.833,12.7,12.8,12.7045,0.0208
4058509648,508849157,7.65,7.85,7.7743,0.097,830.6,839.4,835.0541,3.9127,10.6,10.7,10.6405,0.0491
4058504690,508546811,8.35,8.65,8.534,0.0803,758.7,777,763.0604,4.6235,12.6,12.7,12.6358,0.048
4058618541,508937033,7.55,7.95,7.8665,0.1495,994.7,1003.2,996.7427,3.2184,11.4,11.5,11.4311,0.0463
4058579992,508668483,6.75,6.95,6.9399,0.0438,1024.4,1058,1045.2456,10.8013,10.7,10.8,10.7494,0.05
4058491279,508802362,7.35,7.35,7.35,0,1024.7,1024.7,1024.7,0,11.6,11.6,11.6,0
4058635017,508971379,8.05,8.15,8.1357,0.035,918.5,925.8,919.5429,2.5545,13.8,13.9,13.8143,0.035
4058635091,508930093,6.75,7.05,6.9342,0.1387,1172.1,1206.7,1177.1316,10.3351,13.6,13.7,13.6895,0.0307
4058583178,508761078,6.55,6.95,6.7976,0.1622,934.3,956.9,946.0619,7.5579,10.6,10.7,10.6762,0.0426
4058491229,508821771,6.05,6.55,6.5424,0.0611,1138.2,1185.7,1143.8698,7.8699,12.1,12.3,12.1439,0.0526
4058583223,508649297,8.05,8.05,8.05,0,740,740,740,0,13.6,13.6,13.6,0
4058491247,508699277,7.75,8.05,7.9851,0.0868,766.1,778.9,769.0754,3.7962,11.3,11.6,11.4316,0.1079
4058627952,508851876,7.05,7.35,7.2429,0.1437,1047.3,1086.8,1061.4071,18.9267,13.1,13.2,13.1643,0.0479
4058583275,508077190,8.65,8.65,8.65,0,586.3,588.2,587.8696,0.7202,12.9,12.9,12.9,0
4058575127,508295706,9.05,9.05,9.05,0,547.4,550.2,548.8526,0.7887,19.4,19.8,19.5641,0.131
4058575145,508538141,8.65,8.75,8.6543,0.0204,671,679.7,679.3217,1.7742,13,13.1,13.0957,0.0204
4058627924,508818468,8.25,8.55,8.5054,0.0843,680.8,690.9,685.5804,2.3818,11.7,11.7,11.7,0
4058580025,508873541,7.95,8.45,8.2523,0.2445,751.2,773.5,760.0163,10.903,12,12,12,0
