"id","subc_id","awcts_mean","clyppt_mean","sndppt_mean","sltppt_mean","wwp_mean","orcdrc_mean","phihox_mean","bldfie_mean","cecsol_mean","crfvol_mean","acdwrb_mean","bdricm_mean","bdrlog_mean","histpr_mean","slgwrb_mean"
4058528046,508428255,39.634,18.8582,38.4408,42.7303,20.1415,13.1967,60.9988,1485.1714,13.0742,16.9129,1.1556,199.9687,14.6287,2.2131,0
4058476680,507799687,38.1644,10.4924,69.5047,20.0272,12.2325,10.4203,61.0788,1504.8229,10.0027,8.5196,1.2409,200,9.5502,2.8462,0
4058558992,506571515,40.7961,8.2822,76.7454,14.9293,11.3256,47.5695,57.1436,1410.155,12.498,8.6833,1.299,199.9999,3.2646,9.4792,0
4058557790,508039386,37.8246,9.6081,71.5997,18.7727,11.5233,10.6445,59.421,1510.7248,9.4249,8.5426,1.4598,199.8081,12.7258,3.968,0
4058613578,507660353,38.571,19.5456,38.1837,42.2888,19.6789,14.0991,63.4676,1521.2156,12.1466,10.7468,0.7806,200,12.388,3.403,0
4058591914,508315069,39.5508,20.1393,36.9589,42.9304,20.9351,14.1405,58.2013,1488.1004,13.9277,19.4041,1.4854,199.9458,14.1185,1.8762,0
4058610695,508082108,39.1725,21.9349,26.9191,51.219,21.4666,15.0497,62.3024,1515.9663,13.7993,16.7752,0.8711,199.9739,22.6771,1.4712,0
4058584343,508669801,37.9492,19.5841,37.5285,43.1427,19.9906,9.6837,62.3663,1536.1187,11.9986,15.4318,1.0096,200,9.0197,2.1999,0
4058568515,507176838,39.4778,19.6986,33.8076,46.522,20.4137,14.7624,62.3663,1495.5876,13.3215,14.9123,0.9823,199.3944,14.1376,2.548,0
4058488865,509739120,39.3431,27.4904,26.7214,45.8148,22.3031,11.7956,65.4564,1527.4165,15.6913,15.3707,0.5132,199.996,15.6195,1.3395,0
4058567366,506767541,38.4218,10.4141,69.7922,19.7797,12.5938,26.527,59.9646,1494.276,10.8174,10.3514,1.3958,199.9785,12.631,5.3018,0
4058522584,508466403,38.833,21.1516,27.5371,51.3262,20.915,7.5541,65.3745,1525.4719,13.8987,12.6785,0.8995,200,13.1961,1.8962,0
4058565032,508504396,41.2185,16.0188,46.5739,37.3421,20.1441,32.2101,50.6999,1411.2826,13.1382,24.6895,2.5685,194.0677,26.8693,3.1565,0
4058539759,506627827,39,9.6563,70.6563,19.5625,12.625,43.1563,58.75,1476.3438,11.75,7.3125,1,200,3.8125,6.8125,0
4058567038,508944014,39.9566,17.6095,44.72,37.6895,19.4535,16.2835,56.8676,1463.2657,11.9421,19.5566,1.568,199.6387,17.7924,2.1753,0
4058486431,508677878,39.1796,19.0033,39.371,41.6367,20.4396,16.9936,54.6284,1490.1042,12.1522,19.5691,1.8583,199.385,19.07,1.8905,0
4058538795,506440890,39.0539,8.2921,79.6038,12.1514,10.0526,49.7549,55.7489,1462.7684,9.6308,8.2247,1.5583,200,3.4773,8.8426,0
4058570924,508638245,39.8279,17.2537,44.2285,38.5363,19.9237,25.9596,52.5289,1460.414,11.7292,23.0433,2.2416,197.7356,22.5965,2.3845,0
4058465357,507001498,38.8308,8.5051,75.7328,15.7342,10.9529,27.5294,57.6085,1473.0347,10.4328,9.9191,1.5893,199.9023,13.5233,5.4872,0
4058552963,506298975,39.4995,8.8169,77.3625,13.8832,10.4402,37.1177,57.6001,1451.6203,9.5693,8.3603,1.2765,200,3.7436,8.1478,0
4058468013,507069768,38.7484,8.7222,75.5864,15.6882,10.9486,26.4621,59.8403,1479.4603,10.891,8.1103,1.3398,199.967,8.314,5.2635,0
4058503931,507804526,37.8699,12.8173,58.0172,29.2009,15.6106,19.6735,57.668,1514.6478,10.5699,8.4361,1.2933,199.9992,9.3303,7.0713,0
4058594382,507640030,39.4477,19.2987,31.093,49.5738,20.4451,15.4231,70.264,1507.5156,14.3347,10.3437,0.0981,200,9.9461,2.7498,0
4058576197,507630614,39.9104,22.7088,26.4564,50.845,21.4086,15.3954,69.1331,1502.0747,15.2953,11.0842,0.1955,200,9.8333,2.1064,0
4058617083,508174552,38.0227,14.6982,40.8029,44.4387,18.4096,7.7105,65.9019,1531.7519,10.5142,10.2008,0.9756,200,8.1213,2.4888,0
4058550781,507968887,40.7222,21.434,34.5989,43.9837,21.5927,26.6833,55.0346,1450.8886,13.431,19.0888,1.9468,197.3797,23.9727,1.7148,0
4058519641,507207375,39.161,16.6218,45.0498,38.3492,17.8599,16.1827,62.7017,1495.1142,12.0915,11.0873,0.9593,199.6739,10.7162,4.0841,0
4058626284,507623822,38.9391,20.6422,30.3091,49.1437,20.8144,12.3714,61.3515,1513.2484,11.8835,15.713,1.092,199.917,16.9888,1.9673,0
4058494565,509299667,37.8813,15.3925,59.0035,25.5976,15.4746,13.6302,61.5848,1526.102,11.1511,9.3683,1.0237,200,13.2296,3.5167,0
4058545409,507173161,37.9728,7.0773,79.6059,13.3913,9.3399,17.4367,57.7944,1495.9879,8.9287,8.2232,1.6146,199.9991,8.9835,5.11,0
4058463558,508189250,42.1349,18.2793,42.0621,39.6286,21.2781,34.0739,52.1935,1391.023,14.1386,26.4937,2.3203,198.7008,20.9139,3.5542,0
