"id","subc_id","bio1_mean","bio12_mean","bio15_mean"
4058572452,506372158,8.85,907.93,19.455
4058532719,508411038,8.65,778.8167,21.6167
4058606805,508493850,8.9429,779.8929,19.6929
4058611047,509736582,10.0763,915.7038,13.7663
4058478845,506245341,8.75,792.3543,18.6978
4058572429,506451745,8.95,881.8116,15.913
4058576747,509059497,7.55,727.9769,17.7769
4058626791,508897213,8.05,764.2379,21.2414
4058575344,508405104,8.05,1260.9,17.1
4058633488,506373663,8.85,950.0429,21.1143
4058505664,508639641,9.25,722.025,12.7
4058481299,508327288,8.1682,1368.3091,16.5364
4058572447,506314046,8.85,764.6337,16.7
4058509648,508849157,7.7743,835.0541,10.6405
4058605288,508767463,9.9581,682.7865,13.3973
4058486114,508559759,8.9354,589.3659,26.6049
4058524001,508132448,9.45,1028.3,12.1
4058635017,508971379,8.1357,919.5429,13.8143
4058571250,508305584,8.7233,1122.24,15.0833
4058571211,508323008,9.1961,1293.4888,13.5487
4058475212,507847233,9.55,914.9211,12.4
4058510708,508661715,8.9611,728.6333,12.1
4058474233,507668126,9.85,820.2804,13.1
4058524053,508497973,7.9,971.7,16.05
4058504602,509204608,8.97,1002.52,12.36
4058474035,508370974,7.6535,1096.5258,15.8858
4058487039,509641248,9.5716,977.4703,12.7
4058572544,506430251,8.85,900.2917,15.8778
4058473259,508239731,9.2519,1207.4192,13.9846
4058475208,508415881,9.35,1267.025,14.175
4058583118,508539636,8.954,667.048,24.468
4058633492,506438313,8.75,853.6119,15.3
4058519450,506453559,8.7061,648.5732,18.9927
4058626682,508431102,9.1445,717.2909,18.9418
4058479639,506594631,9.0955,840.9545,15.1
4058491247,508699277,7.9851,769.0754,11.4316
4058616571,508730997,8.772,741.384,23.278
4058523955,507604273,9.5697,846.1134,12.9803
4058626823,508928229,5.6681,965.0556,19.0722
4058486109,508174453,8.45,726.2568,14.3
4058487463,506704200,8.75,636.448,16.8
4058619543,508267736,9.45,532.4962,20.7
4058530512,506819002,9.05,649.2,16.7
4058572420,506305637,8.75,873.1571,18.6755
4058576668,508468512,8.85,795.6364,22.9909
4058515461,506533695,8.85,605.2,18
4058616555,508546930,8.2449,840.7077,20.7
4058626807,508438856,8.55,725.5,23.2
4058575145,508538141,8.6543,679.3217,13.0957
4058569632,506401514,8.95,887.0564,16.7154
4058618541,508937033,7.8665,996.7427,11.4311
4058576627,508550619,8.05,729.5,22.7
4058532642,508742803,8.6993,785.897,21.8493
4058524165,508268353,8.7218,1287.4821,14.8974
