"id","subc_id","awcts_min","awcts_max","awcts_mean","awcts_sd","clyppt_min","clyppt_max","clyppt_mean","clyppt_sd","sndppt_min","sndppt_max","sndppt_mean","sndppt_sd","sltppt_min","sltppt_max","sltppt_mean","sltppt_sd","wwp_min","wwp_max","wwp_mean","wwp_sd","orcdrc_min","orcdrc_max","orcdrc_mean","orcdrc_sd","phihox_min","phihox_max","phihox_mean","phihox_sd","bldfie_min","bldfie_max","bldfie_mean","bldfie_sd","cecsol_min","cecsol_max","cecsol_mean","cecsol_sd","crfvol_min","crfvol_max","crfvol_mean","crfvol_sd","acdwrb_min","acdwrb_max","acdwrb_mean","acdwrb_sd","bdricm_min","bdricm_max","bdricm_mean","bdricm_sd","bdrlog_min","bdrlog_max","bdrlog_mean","bdrlog_sd","histpr_min","histpr_max","histpr_mean","histpr_sd","slgwrb_min","slgwrb_max","slgwrb_mean","slgwrb_sd"
4058568515,507176838,38,39,38.375,0.4841,16,18,16.8333,0.7454,53,58,55.7083,1.4855,25,31,28,1.6833,17,18,17.7083,0.4545,10,15,12.4583,1.2576,60,62,60.7917,0.7059,1503,1517,1511.1667,3.9651,14,17,15.75,0.7773,8,9,8.2917,0.4545,1,1,1,0,200,200,200,0,2,7,4.125,1.6154,4,7,5.25,0.7217,0,0,0,0
4058464700,507880612,37,38,37.3659,0.4817,13,16,14.9268,1.0682,54,63,59.4878,2.5,24,32,25.8537,2.1134,15,17,15.8293,0.8526,7,12,10.0244,1.7459,55,57,56.3415,0.6481,1522,1547,1527.6097,5.9423,10,12,11.1707,0.6209,6,10,8.5854,0.8257,1,2,1.122,0.3272,200,200,200,0,3,10,6.2683,1.5621,4,6,5.0976,0.5761,0,0,0,0
4058486431,508677878,38,39,38.68,0.4665,15,22,20.08,2.0282,39,54,43.04,4.5693,31,39,36.94,2.738,18,21,19.84,0.9024,7,58,17.06,14.0661,61,65,64.12,1.2906,1501,1547,1525.84,10.0645,12,15,14.06,0.9035,6,7,6.42,0.4936,1,1,1,0,200,200,200,0,3,11,5.86,2.6307,1,4,1.82,0.9315,0,0,0,0
4058582701,508665800,38,40,38.9167,0.493,14,21,17.3333,1.8409,36,49,41.5833,4.0509,37,43,41.0833,2.3259,18,21,19.6667,0.8498,5,23,12.75,4.3993,60,62,60.5,0.6455,1476,1517,1499.6667,12.9379,12,14,13.5833,0.7592,19,20,19.4167,0.493,1,1,1,0,200,200,200,0,6,11,8,1.2247,2,3,2.4167,0.493,0,0,0,0
4058564858,508293490,36,37,36.3571,0.4792,8,12,9.1429,1.3814,61,73,69.1429,2.9485,19,28,21.75,1.8637,11,14,12.2143,0.9768,4,9,6.9643,1.4011,57,61,58.4643,1.1175,1536,1561,1547.1786,8.1812,9,10,9.75,0.433,6,7,6.0714,0.2575,1,1,1,0,200,200,200,0,2,8,5.6786,2.001,3,6,3.8214,0.8474,0,0,0,0
4058539759,506627827,39,39,39,0,8,11,9.6563,0.8518,68,72,70.6563,1.5931,18,22,19.5625,1.56,12,14,12.625,0.6495,33,48,43.1563,4.6037,58,59,58.75,0.433,1468,1485,1476.3438,5.7858,10,15,11.75,1.299,7,8,7.3125,0.4635,1,1,1,0,200,200,200,0,1,8,3.8125,1.9435,4,10,6.8125,1.6477,0,0,0,0
4058504641,508438640,38,40,39.2222,0.737,14,17,15.6667,0.9428,43,48,46.5185,1.3157,36,40,38.1852,1.3888,19,20,19.1111,0.3143,14,23,16.7407,3.1221,53,55,53.7778,0.7857,1456,1508,1481.5927,19.515,12,14,12.5926,0.6809,20,25,23.3333,1.4142,2,2,2,0,200,200,200,0,13,23,19,3.1388,2,5,2.3704,0.6748,0,0,0,0
4058631786,506301107,41,46,42.6977,1.7055,29,32,30.1628,1.3456,36,39,37.4419,1.0411,31,34,32.7907,0.9779,23,25,23.9535,0.7456,58,93,71.7907,14.3747,61,63,62.3023,0.5074,1319,1467,1418.2325,52.6528,17,20,18.093,0.9355,9,11,9.7442,0.5744,1,1,1,0,200,200,200,0,7,10,8.814,1.04,9,11,10.2326,0.6764,0,0,0,0
4058555110,508150849,38,38,38,0,14,17,14.3333,0.6667,56,63,61.1852,2.1609,23,29,24.6667,2.0367,14,16,14.4444,0.5666,7,10,8.4074,0.6242,63,66,64.6667,1.2472,1517,1532,1525.3333,4.2601,10,12,11,0.6086,6,7,6.1111,0.3143,1,1,1,0,200,200,200,0,0,5,2.5556,1.4229,3,5,4.1852,0.6108,0,0,0,0
4058556692,506406239,39,39,39,0,6,9,6.3571,0.895,82,86,85.0714,1.1628,7,10,8.2857,1.1606,8,9,8.1429,0.3499,19,34,22.2857,4.0076,58,59,58.5,0.5,1468,1471,1470.7144,0.7954,7,11,8.1429,1.2454,9,10,9.0714,0.2575,1,1,1,0,200,200,200,0,0,7,5.2857,2.0152,4,6,5.7857,0.5579,0,0,0,0
